summary,reviewText,overall,sentiment,enhanced_rating
they work great..,"I have been using this all week with a sanding project I am doing with garden furniture... they work great... stick amazing.. and last a long time... Great product
I have been using this with Trade Associates AF44L 7 Piece Dura Block...they work great together",5,0.5357142857142857,4.787142857142857
"Good sandpaper, but...",the adhesive does not stick to wood as much as I would like it to.  The pieces come off too easily.,4,0.4444444444444444,3.8681111111111113
Absolutly the BEST,"I have a very old (20 plus years) Craftsman 1/4 sheet sander. I got it because you could cut down full sheets and clip them to the sander.  Well after 20 years the clips are just plain worn out and no longer hold the sheets in place.  Well 1/4 sheet adhesive backed paper is WAY too expensive, and I have not found any full sheet sticky back.  I was just about to toss the sander in the garbage when I stumbled across these rolls.  I decided to give them a shot and I'm so glad I did.  The adhesive sticks well to even my 20 year old rubber pad.  The sandpaper is very durable and long lasting.  I'm using this mainly for wood, but won't hesitate to go after metal or fiberglass (should the need arise).  At only 20 cents a pop this is one of the most economical adhesive backed options around.  I'm gonna have to order a couple other grits cause this stuff is great.",5,0.17641186299081033,4.220912068833943
Porter -Cable 120 Grit Adhesive-Backed Sanding...,"Very good and well made product etc, I use it to prepare surfaces for painting and other uses as well.",5,0.39249999999999996,4.155657407407407
Stickit sandpaper,This is an excellent product easy to use on my three block sanders. I keep all grits in stock. The adhesive does not dry out.,5,0.48888888888888893,4.532496031746032
The right tool for many jobs!,"I have restored many old desks which I acquired from a local University surplus auction.  These oak desks were very good quality, but they unfortunately had an ugly black top on them.  I am unsure of what the black surface is, but it seems to be some sort of plastic/synthetic.  After stripping the desks and removing the edge trim from the tops, I used Gorilla glue to attach furniture grade oak plywood to the black surface.  After making a new edge banding and using traditional finishing techniques, the desks look like a million bucks.  I experimented with other adhesives, but found Gorilla glue to be the absolute best for strength, working time, and cost.  There is a bit of ooze-out when clamping pressure is applied, but I just wait for the glue to dry and scrape the hardened seepage with a chisel befor sanding.  I highly recommend this glue!!!",5,0.14094269765322393,4.324374786977728
Five Stars,as described,5,0.0,3.8200000000000003
It lasts!,Use it to reattach soles to shoe.,5,0.0,4.212777777777777
Five Stars,"Love this stuff. It works great and is strong and long lasting. Metal, Rubber, Wood. Does it all.",5,0.33666666666666667,4.399583333333333
gorilla gluerilla is te best glue this is a good buy,gor,5,0.85,4.394916546416546
Four Stars,Works,4,0.0,3.44
Buy it now M,Michael & Bar's pos review convinced me 2 buy...it sticks,5,0.0,4.24
Three Stars,ran out so we ordered more,3,0.5,3.0999999999999996
GREAT GLUE AND REUSABLE CONTAINER,"Cap makes reuse easy by keeping spout open. This is a superior glue I've used for wood, shoe rubber and other heavy duty jobs.",5,0.26805555555555555,4.327203823953824
This is the best way to repair an air mattress hole of any ...,"This is the best way to repair an air mattress hole of any size! Cut a piece of any cloth and put glue on both sides and apply to hole. After about thirty minutes put any kind of paper over the cloth and press down to eliminate the bubbles. keep pressing out the bobbles till almost cured, or dry. About three hours. :)",5,0.4796296296296297,4.0883884126984125
gorilla glue sticks things together. really well.,"it's gorilla glue. read the directions, try not to make a mess, make things stick together incredibly effectively, like maybe epoxy level of effectiveness. note that the tip needs to be cut off, there's no weird trick to it, it just needs to be snipped off and then you can put the cap over it when you're done. additionally, when the directions say THIN LAYER, it's a thin layer, this stuff expands and you'll see some ""great stuf"" around the edges of your seal if you use too much.",4,0.134375,3.4367834595959597
Five Stars,this s--- really works- always have the product on hand,5,0.2,4.29
Five Stars,Best dependable glue I now use in many applications.,5,0.75,4.2999457671957675
Five Stars,Great Product,5,0.8,4.8
"Great Product, Highly Recommend","Great product, drill pilot hole in ceiling, squeeze gorilla glue into hole, dip ceiling hook into water, screw hook into pilot hole, wait until dry, enjoy peace of mind knowing shop lights won't come crashing down in while you sleep =)",5,0.34825396825396826,4.333830211640212
Gorilla Glue,Thanks this is just what I needed,5,0.2,4.452
Great value for the money.,Works great.  We have used it for many different things and it has glued everything.  My favorite glue.,5,0.52,4.739454545454546
Five Stars,I love this stuff especially for anything that will be wet a lot.,5,0.13333333333333333,4.448333333333333
This is the best glue I have ever used,"This is the best glue I have ever used...great holding and bonding power, on everything I have used it on, thus far.",5,0.7000000000000001,4.330518518518518
holds good on shoes,be ready expands alot,4,0.44999999999999996,3.972
Gorilla Glue eight ounce size.,"Gorilla Glue eight ounce size.
Most of us have been in a home repair situation that just keeps getting worse the more you get into it. When that happens worse means more cash to fix the problem. There are those who say just ""do it right"" or don't do it at all. You know who you are. I can agree with them, when there is money to use, but when there are no funds there is..... Gorilla Glue. Well here is my story.

I had a small problem that quickly spiraled into a carpenters truck payments. I had a loose toilet. Not a big deal right. Tried to usual tighter down the loose bolts. No help they just kept turning, which means the terrible and dreaded WOOOOOD ROTTTTTT.
Yes Houston we have a problem. The tiolet flange that holds it in place was rotten from some sneaky water leak somewhere not visible. This insidious leak had taken its toll and caused great damage under the bathroom tile.

In comes repair guy 1 then second opinion guy. Remedy; You gotta take that toilet out, bust out all that floor tile, cut out the sub floor, put in new sub floor, put in new tile, new toilet flange, and re set toilet then grout everything. Estimate to ""Do It Right"" nearly two grand. Since you have a carpenter, then a tile guy, then a plumber guy. My heart sank as I knew how much cash I had at the time.

My thoughts. The floor seemed good everywhere but around the flange. The toilet while it would turn and lift on one side was still holding fair on one side. If only I could just shoer this thing up where it would be stable. I wish I could just shoot something in there that would fix everything and not go in debt.

How about Gorilla Glue. No that would just make a bigger mess. No here me out this might work. No it won't Gorilla Glue expands and will screw up everything. All this was the conversation i was having with myself in my head.

Ok lets do this but how to get it under the toilet. I took the bottle of glue and went to the hose department at home depot and found some clear plastic hose that would fit on the end.

The process. I lifted up one side of the toilet to inspect wood damage and condition. The rot was in the past and little moisture was present so the leak may have been partly condensation gone wild. Good news. Gorilla Glue activates with moisture. Didn't know that, so the conditions here are perfect. What the glue was now to do is to bond with the bad wood becoming super strong, water resistant, and hard as stone. it will make a bridge so to speak with the bad wood and the good wood, and Gorilla will bond with porcelain like grout does but stronger bond.

The attack. Hose on bottle, one side of toilet is lifted, hose inserted, squeezing and not much is happening as this glue is thick. Plan B, set glue bottle on floor use foot pressure. Eureka we have glue flow. Pumped about two ounces all around the toilet. Luckily the high pressure from my foot did not make the hose come off and get all over my shoes and the outside of the toilet.

Ok ok you knew it was going to happen. Yes the hose did come off and glue spewed all over my shoes and toilet. Cleaned it off and we are done almost. Remember the glue does expand while it dries filling up gaps as it forms it bonds. I was ready with a box cutter coming back in every ten minutes to inspect and trim.

All in all it worked. Solid as a rock. No leaks. Used some white silicone caulk around the base. The choice was either eight bucks for the glue, or nearly two grand that could better be used for other things like beer, new flat screen tv, taking the wife out to dinner sixty times, or other electronic man toys.

This glue saved me. In life you come across small things that work their way your heart for how well they help you or serve a purpose. Your uses and millage of course may vary. Good luck always.",5,0.09539353452814993,4.208797135462577
Have Not Found Anything That It Did Not Work On....,"I have to say Gorilla Glue, has worked on everything
that I have used it on.
And I have used it often and on just about anything one
could think of.
I have used it on my camper floor, and shower, as well
as fixing a running light.
I used to repair the seal around my garage door, and a
broken handle on a city trash can.
It fixed a tear in camp chair, and a broken ice chest lid.
I had ordered a Tampa Rays coffee mug, and it came with
a broken handle, I glued it back on, just to see if it would work
on a jagged edge, instead of a nice smooth surface, it has held
for a year now.
Now, having said that, I must say, I have not put that particular
coffee cup, into the microwave, as I am not sure what that amount
of heat would do to the glue.
Make sure that you do not use more than it takes to do the job, as it
spreads when it gets wet.
I learned that lesson the hard way.
I always have a bottle of it with me, or at least within arms reach, because
you never know when it will come in handy.",5,0.07031249999999997,3.8550594035594035
Tough Stuff,Love this stuff. Foams up and bonds really well. Been using it for the longest time and never had anything fell apart. But it can get messy. It hard to judge how much to use.,4,0.0032407407407407385,3.3674074074074074
I love Gorilla glue,I love Gorilla glue.  If i want something to stay forever i generally use it.  You just need to account for the fact that it will expand as it dries.  So make sure that there is room for that otherwise it may ooze out of whatever you're gluing.,5,0.3875,4.424916546416546
Great glue-keep off your skin,"I've used this glue before and really recommend it.filles voids and drys like steel. Caution, use rubber gloves when working with this glue, It turns black on your hands and takes 4/5 days to wear off. Nothing will remove it from your skin. Great product, great vender. I will order from theses folks again as needed.",5,0.4866666666666667,4.131607142857143
Great glue,Works great on most everything. Glued some new shelf door holders in a fridegerator that was craked and kept falling off. Not anymore. love it,5,0.5472727272727272,4.554
8oz Original Gorilla Glue,8oz Original Gorilla Glue.  This is a good strong glue.  I use the full line of Gorilla products.  I can always count on the quality of their products.,5,0.44666666666666666,4.350325743428685
It Gorilla Glue,"It sticks like crazy to most surfaces. I bought these smaller packs as it tends to go off when opened. For anything that really needs to hold this is my goto product. Note this stuff foams a bit so not ideal for decorative joins but otherwise awesome.

TIP if contact between surfaces isn't tight, spray a little water on; it will make the glue foam up and bridge any small gaps.",5,0.0037698412698412686,4.06300546879591
This glue is AWESOME.,"If you need glue to fix most anything and your don't car what it looks like, just not to fall apart. . . well. .  this glue is for you.  It foams and fills before it dries.  Make sure you put something under the object being glued becasue when it foams outside the joint, the object will be glued to whatever surface it is sitting on.  I highly recommend the product.",5,0.43200000000000005,4.179589947089947
Mostly excellent,"Once you get familiar with with how this works, then it's easier to strategize how and when to use it.  It's very messy to work with and takes a long while to set up.  I've used GG (and other brands of the same type of glue - which, incidentally, seem to be identical to the point that I don't really have a preference) for countless things over the years:  I repaired the broken frame of a Nordictrack skier that developed a crack (I glued the crack and clampled it, as well as glueing and screwing a piece of wood to the side, along the crack and a few inches beyond on either side), put a kickboard on the screen door of our front door which is starting to deteriorate at the lower corner, built a small playhouse ladder, and about a million other things I can't recall.

It works well and bonds seem to be very strong.  I generally use glue as a supplement, not as the only source of bonding (if possible).  I've repaired some non-wood items as well.  Some have worked fine, some not.  As another review mentions, you can peel the dried glue off of the nozzle when you're opening it for another use - so it's probably not the best choice for plastics.  I've done some ceramics and it's been fine - the foaming as it dries can of course make the end results look less-than-perfect.

Overall GG is very useful, and there are plenty of things for which it works very well and where, say, super glue doesn't do the trick.  I don't know if it's better than wood glue for wood projects.  From what I hear it's not, but I don't always have wood glue around, so I'll use this.

The most important advice I can give is: don't buy too big of a bottle unless you really use it a lot.  When you're done using it, squeeze as much air out of the bottle as you can.  I've never been able to actually finish a bottle of this kind of glue, because as I get to the last third or so, it usally hardens or there's so much dried glue at the top of the bottle that I have to cut apart the bottle to get to the remaining glue.  Squeezing out as much air as possible before closing the cap will mitigate this to a large degree, but at some point you just can't get enough air out and so you start to see the crusty, hardened end of the life of your precious bottle of glue somewhere on the horizon.  It's the circle of life.  For glue, anyway.",4,0.17157467532467535,3.5416816652846066
Mediocre to Average at Best.,"I have tried three different types of Gorilla glue and this one is the best, although still VERY average.  I cannot recommend it as it is not truly ""general purpose"".  While it works decently, if you don't mind the excess foaming on paper to wood, wood to wood or cardboard to plastic, it totally fails on plastic to metal or brick.  It is WORTHLESS on brick to brick (yes they are bare, unpainted bricks), and don't even think about using it to stick anything to concrete blocks.

Their Product Description is all hype and I found to be totally untrue.

""Gorilla Glue is the finest all purpose premium polyurethane wood glue available today.""

* I have found several better products, including&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Elmer-s-Ultimate-Glue-P9417-16Oz-Ultimate-Poly-Glue/dp/B000MVOXGO/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Elmer's Ultimate Glue - P9417 16Oz Ultimate Poly Glue</a>&nbsp;and&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Elmer-s-E9416-All-Purpose-Glue-All-Max-8-Ounces/dp/B0045PS6K2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Elmer's E9416 All Purpose Glue-All Max, 8 Ounces</a>&nbsp;just to name two.

""Gorilla Glue is environmentally friendly, incredibly strong, 100 waterproof, will not freeze, requires no mixing, does not become brittle with age and will not expand or contract in the glue joint.""

* It is NOT incredibly strong!!  I first tried to glue a plastic wheel barrow what has a 6 in split in it with this this product.  After TWO days of drying (and scraping a lot of foaming residue) I dumped a load of dirt and it immediately split on first load.  Okay, maybe not enough surface area to make a good bond.  I took a strip of flexible plastic and roughed up both original surfaces and the new reinforcement strip and surface that would be in contact with it with 80 grit sandpaper, AND I also CLAMPED the reinforcement strip firmly, but not tightly, in 3 locations.  Again, after 3 or 4 days (home owner, don't have to use wheel barrow every day luckily) of setting time I went to use wheelbarrow.  Put shovel in wheelbarrow and let handle drop to side.  Guess what?  Yup, you guessed it, crack split again faster than cheerleaders doing splits at end of their routine!  So much for strong.

* It has become brittle on two or three projects for me, mostly ones exposed to intense sunlight or freezing temperatures. And then FAILED.

As to water proof & requires no mixing, I guess these are correct, but so are almost all other resin and polyurethane adhesives; environmentally friendly -- what about it is enviro friendly?  More hype to get tree huggers and green freaks to buy a product I suppose.

* * Plus this stuff foams up worse than a dog that has just tried to eat a toad and is very messy to clean up and it surface even when capped tightly in bottle tends to become rock hard and requires coat hanger to break up to get to adhesive.

I have relegated what I have left to NON critical small insignificant wood/paper bonding and will NOT be purchasing again.",3,0.1000721684777807,3.145009732691551
Strong but very difficult to work with.,"Gorilla glue might be very strong but it is not user friendly for woodworking. It has some major drawbacks. It is not water soluble so you cannot wipe the excess with a wet rag (I had to use lacquer thinner). It expands quite a bit which means even if you wipe the excess initially, you are still going to have it coming out of the joint. Don't even think about using it to glue anything without using clamps, as the expansion of the glue will cause the parts to move. The bottle cap is cheap and it broke at the bottle when I tried to pull off the cap (which of course glued itself to the nozzle).
I've gone back to conventional woodworking glues and the new ones (tite-bond) are very strong so there is no real advantage to Gorilla glue.",1,0.11853896103896105,2.1286897220426635
FIVE Things you should know..,"1) Elmers ""Ultimate High Performance"" is a Polyurethane (PU) glue and it's as good as Gorilla (another PU Glue) (As far as I can tell) but cheaper. also used the PL brand glue and can't tell any notable difference between the three. Have not used Sumo and from what I understand it sets up faster and as a result apparently has a much more limited shelf life (this is generally not a good thing - see item #2)

2) This has a limited shelf life and you probably don't need as much as you think. PU glue foams up and you use a LOT less than other types of glue. 4 oz should be more than enough for most people, 8 oz is a BIG bottle - I can't even imagine buying the 16 oz bottle. PU Glues suck moisture out of the air so unless you plan on using it up within a year or two, a LOT is going to go to waste. Don't ask me how I know this.

3) PU Glue is FANTASTIC for lots of things but woodworking glues are still better for woodworking. They are stronger and you can't clean PU glues up with water the way you can even with the waterproof Titebond products. Also if you use biscuits you will have to moisten them separately to get them to swell.

4) KEEP OUT OF REACH OF CHILDREN AND ANIMALS! PU glue is waterproof and will swell and harden inside the digestive tract creating a blockage. There is NO antidote and surgery is typically the only solution. There have been MANY cases - just search Google ""Dog Gorilla Glue"" Wear gloves (rubber or vinyl) and use lots of wax paper.

5) Aliphatic wood glues (Like Titebond II) are still better for wood to wood bonding. Fine Woodworking did a test (Issue #192) and found Polyurethane glues to be about half as strong.

[...]

If you've found this review helpful, please let me know!",4,0.18602891156462584,3.423858505111446
Really Good Glue! Use With Caution! Recommended,"""Gorilla Glue"" has become one of the most used ""tools"" in our house. We have used it to repair wooden chairs, fix a wooden medicine chest, glue soles back on to sneekers, fill cracks in a wall, and at least half a dozen other fixes in the past month.

Here are my observations:

* You must read the directions!
* Surface needs to be damp for the glue to work
* Use clamps when possible
* It expands a *LOT*, use with caution or you might accidently glue your project to the table as it expands overnight! This happend to me :-)
* This is strong glue and hard to get off once it is on a surface

Highly recommended!",4,0.10267857142857141,3.5401256613756615
Really Good Glue! Use With Caution! Recommended,"""Gorilla Glue"" has become one of the most used ""tools"" in our house. We have used it to repair wooden chairs, fix a wooden medicine chest, glue soles back on to sneekers, fill cracks in a wall, and at least half a dozen other fixes in the past month.

Here are my observations:

* You must read the directions!
* Surface needs to be damp for the glue to work
* Use clamps when possible
* It expands a *LOT*, use with caution or you might accidently glue your project to the table as it expands overnight! This happend to me :-)
* This is strong glue and hard to get off once it is on a surface

Highly recommended!",4,0.10267857142857141,3.5401256613756615
Really Good Glue! Use With Caution! Recommended,"""Gorilla Glue"" has become one of the most used ""tools"" in our house. We have used it to repair wooden chairs, fix a wooden medicine chest, glue soles back on to sneekers, fill cracks in a wall, and at least half a dozen other fixes in the past month.

Here are my observations:

* You must read the directions!
* Surface needs to be damp for the glue to work
* Use clamps when possible
* It expands a *LOT*, use with caution or you might accidently glue your project to the table as it expands overnight! This happend to me :-)
* This is strong glue and hard to get off once it is on a surface

Highly recommended!",4,0.10267857142857141,3.5401256613756615
One Tough Glue,"Pros:
-Really tough glue
-More flexible than super glue
-Waterproof
-Works on many surfaces, metals, wood, ceramics, some plastics, etc. Best for wood applications.

Cons:
-It expands, drips and produce tiny bubbles during the drying process. This is my biggest gripe. Definitely not for repairing your Lladros or others applications that require hairline precision.
-Glue is not clear but yellow. Very noticeable, not good if you really want a clean finish.
-Make sure you really clean the tip of the bottle or it will be hard to open and use it the next time
-Expensive",4,0.09986111111111114,3.5519475568004983
Surprisingly effective...,"Our concrete driveway had dozens of cement patches (to fix concrete pops), many of which were higher than the driveway's level.  This grinding wheel, mounted on a 30-year-old 4.5"" right-angle grinder, easily smoothed the patches to the surrounding level. If you grind on a windy day, you won't even need a respirator.  Great product at a reasonable price.",5,0.38541666666666663,4.481166666666667
Does a pretty good job for the price,"Does a pretty good job for the price. It did the job I needed it for but wore out quickly. If you have a lot of grinding to do, invest your money in a diamond studded wheel.",4,0.44666666666666666,3.57
Perfect for my needs,Typical DeWalt high quality,5,0.33111111111111113,4.443888888888889
Three Stars,not used,3,0.0,2.94
Four Stars,Worked great for our projects,4,0.8,4.18
Angle grinder blades,"This is another great blade for my angle grinder that came in handy in mobile home demolition.  Hopefully, you won't use it very much, but it will
do the job.",5,0.5533333333333333,3.8472182539682542
Five Stars,A HIGH QUALITY PRODUCT THAT WORKS GOOD.,5,0.43,4.548
good buy,good buy,5,0.7,4.1
Worked great and has held up very nicely,Used this to shave down slump stone that was rough on a block wall. Worked great and has held up very nicely.,5,0.4840740740740741,4.68
Works well,Works well.,5,0.0,4.08
Gets the job done,Works as advertised.,4,0.0,3.2
Good Quality,"It's hard to draw that fine line of where the ol' Black & Decker reputation ended and the quality of DeWalt begins. So far I've never been disappointed with anything I've purchased with the DeWalt name on it, including this product. I know that I pay more for schtuff with the DeWalt name on it, but in the long run it's usually money well spent when compared to other products.",5,-0.0015151515151515173,4.190727272727273
Doing a difficult job,"It will take some time, as I am trying to even up and entire patio of wandering cement.  But eventually we will be done.  And the Dewalt small angle grinder kit I bought with it is too cool!  Power hand tools are so much fun.",4,-0.0025000000000000022,4.000666666666667
excellent,tried this out on a stone i needed to grind down for a perimeter wall i am building around my garden.  worked great.,5,0.5481481481481482,4.766666666666667
Dewalt Grinding Wheels,"These are great for any demolition or cleanup work you need to do. Priced competetivley here on Amazon, they give you exactly what you ask of your tools. They go to work and don't let you down. Have used them for several projects and they hold up to a beating.",4,0.22361111111111112,3.769444444444445
"I'm a lumber jack, and I'm OK...","Working solo I used one 2601Q to raise a 26ft long by 9 foot tall 2X6 wall with little problem. Jack tends to bind if the 2x4 is not smooth, and then the rachet requires persuasion using hammer taps.",4,0.015625,3.493938492063492
Love it...,"Slightly confusing at first, once you get things together and lifting - WOW - couldn't have raised my 9 foot shop walls without them. Make sure you get the wind hook safety attachment with them.",5,0.21000000000000002,4.51
"Perfect condition, works great.","How could you frame without these? You would need a bunch of people, that's how",5,0.9,4.74
Controlled chaos,"It takes a little practice to get used to these, and I kind of feel like it's a case of ""controlled chaos"" working with them. There's a lot of things that can go wrong, so they are potentially very dangerous. I didn't realize the first time I used them when you get to the very top of the lift, the weight of the jacks themselves will tend to push the wall over. I was trying to stop the wall from moving, and both of the jacks in  unison were fighting against me. I was very lucky that one edge of the top plate caught against an adjacent wall long enough for me to pull the jack out of place. I would have lost the wall otherwise.

After that first little adventure I started to tie rope to the wall, but this is also a case of controlled chaos. If your ropes are too long, they can stretch, and the bottom of the wall can kick in and go over too. I find it best to get the walls within about 3 inches of plumb, brace the wall and get rid of the jacks. Then, and only then, push the wall into plumb.

These are very handy, but I would advise anyone using them to start with small walls (10') or so before approaching anything much heavier.  I can also say it takes about 45 min. to set everything up vs. about 15 min. with a helper. Of course if you have no helper, these are gold. Use nice straight 2x4's and be certain everything is well secured. Double up your 2x4's at the base or use the wind kit.",3,0.11969246031746032,3.2327546296296292
Work beautifully,I bought two of them to build my house. They work beautifully and must if you are framing your house with only two people.,5,0.5666666666666667,3.82
Just Nails!,I bought these as a DIY'r who didn't want to by the  4K offered by the Big Box Stores.  They worked and didnot jam... recommend them if you have a situation like mine.,4,0.0,3.8369166666666668
Good Staples,"What can I say; they are staples. Shoot fine, don't jam my gun.",5,0.5583333333333333,4.320454545454545
Five Stars,it work so well,5,0.0,4.24
Works in new Bostitch HVY Duty Staplers.,"Cheapest staples on Amazon.
Works in new Bostitch HVY Duty Staplers.
Hair enzymes in the bread.",3,0.13636363636363635,3.0566666666666666
They work...,"They are staples...They work... Extra strong... Think staple size of a construction hammer tacker (not an exaggeration, actually that size)....",5,0.14444444444444443,4.1735569985569985
to small for wood working,maybe if u wanted to  upholster a seat on a chair ok other wise  not good for wood workers sad,1,-0.00416666666666667,2.285402661064426
Use what I can ??,"I ordered these along with an air stapler and also some 1 1/2"" staples. I got these first. And WOW.... did I get them. I opened the shipping box to find all the staples were already out of their box and all over the shipping box. There were alot of them broke apart and some were mashed almost closed. Yes, I will be able to use the majority of them , but I will probably find another way of getting my next staples. All it takes is a little TLC with the packaging to make sure it's safe. I know all packages that go across country or across town get treated like crap, but if you pack the majority of items right, they will endure alot of abuse and still stay intact. I just hope my other staples make it through....",3,0.08392857142857144,3.347714285714286
worth the $6,"Good replacement wheel, very low price, packaged and shipped very safe.",5,0.4125,4.109999999999999
Five Stars,happy,5,0.8,4.859999999999999
Five Stars,works and wears well and fit perfect,5,0.7,4.9
Okay,"Replacement for an old wheel.  Haven't used it yet.  Looks like the old one (most all new products are shadows of their former selves), so it's probably okay.",4,0.26233766233766237,3.54621645021645
Good quality chop saw wheel above cheaper alternatives,These are good quality abrasive chop saw wheels that seems to outlast cheaper saw wheels from Harbor Freight and others. I will buy again.,5,0.4666666666666666,4.68
I needed this saw a long time ago.,"Have only needed one so far, work fine.",5,0.11666666666666667,3.715
Five Stars,Works great for cutting metal pipes.,5,0.10000000000000003,4.8
Five Stars,Good price on a good blade.,5,0.7,4.58
works good and great price,works  good and great price,5,0.75,4.694166666666667
excellent product,"excellent products.  This cuts so fine I use it to trim off the end of my CIGARS.  Dewalt always good blades, wood and metal.",5,0.7791666666666666,4.97
Good disks,They work well,5,0.7,4.1066666666666665
cuts great. This blade seems to cut better than the ...,"Item exactly as advertised, cuts great.  This blade seems to cut better than the cheap Harbor Freight ones, but not very much better.",5,0.42857142857142855,4.311794871794872
Five Stars,Fast ship great product Thanks,5,0.39999999999999997,4.46
Good quality and seems to have more life than others I have used,This is a good blade for my chop saw.  I have used generic ones that may be just a bit lower cost but they seem to wear much faster than this one does.  First time buying one of these on Amazon and it was delivered well and quickly.  I will buy this again when needed.  The blade is well made and seems to be lasting.,5,0.3354166666666667,4.470297619047619
Three Stars,yup it's sandpaper all right,3,0.2857142857142857,3.625238095238095
